layer,type,head,min,max,amax,mean,std,p99_abs,p999_abs
0,K,0,-165.0,171.0,171.0,4.543814182281494,40.959877014160156,164.0,171.0
0,K,1,-130.0,113.5,130.0,0.15088582038879395,24.927934646606445,112.0,130.0
0,K,2,-107.0,108.5,108.5,0.3552986681461334,21.011709213256836,106.5,108.0
0,K,3,-56.75,87.5,87.5,0.3444088101387024,9.659581184387207,55.0,86.5
0,V,0,-1.359375,1.359375,1.359375,-0.007556691765785217,0.2660406231880188,0.7492580413818359,1.013763427734375
0,V,1,-1.21875,1.2265625,1.2265625,0.010281016118824482,0.28851518034935,0.8312892913818359,1.154388427734375
0,V,2,-0.890625,2.15625,2.15625,0.005418266169726849,0.27160245180130005,0.7766017913818359,1.994415283203125
0,V,3,-2.140625,1.8828125,2.140625,0.0030108809005469084,0.2550009489059448,1.0453910827636719,1.732879638671875
7,K,0,-10.875,4.75,10.875,-0.06034352257847786,1.4704545736312866,3.96875,10.2276611328125
7,K,1,-11.0,4.09375,11.0,-0.09625345468521118,1.4103009700775146,3.8690643310546875,9.875
7,K,2,-10.5625,4.875,10.5625,-0.02044474147260189,1.4141546487808228,4.09375,9.8050537109375
7,K,3,-10.625,6.75,10.625,-0.1157541498541832,1.8454409837722778,8.25,9.8125
7,V,0,-2.6875,3.0625,3.0625,-0.010950488038361073,0.5648902058601379,1.671875,2.422607421875
7,V,1,-2.640625,2.5,2.640625,0.0015460274880751967,0.5623101592063904,1.6328125,2.216888427734375
7,V,2,-3.796875,2.984375,3.796875,-0.024099553003907204,0.7324442863464355,2.078125,2.91815185546875
7,V,3,-3.46875,4.25,4.25,0.019122587516903877,0.555435061454773,1.65625,2.8125
14,K,0,-7.90625,7.8125,7.90625,-0.032329998910427094,1.3658391237258911,5.2128143310546875,7.05877685546875
14,K,1,-8.875,20.25,20.25,0.11586837470531464,1.7958868741989136,6.6890716552734375,14.0625
14,K,2,-7.59375,10.5,10.5,-0.003367906901985407,1.4176850318908691,4.863128662109375,9.5
14,K,3,-11.125,5.1875,11.125,-0.14072617888450623,1.3874658346176147,5.363128662109375,8.172607421875
14,V,0,-4.6875,3.03125,4.6875,-0.049381982535123825,0.6726948618888855,2.40625,3.88018798828125
14,V,1,-3.28125,3.5625,3.5625,0.014032825827598572,0.588567852973938,2.1815643310546875,3.322540283203125
14,V,2,-2.859375,2.390625,2.859375,-0.029495660215616226,0.5502316355705261,1.5844535827636719,2.2269287109375
14,V,3,-3.5,3.140625,3.5,-0.05213870853185654,0.5961318612098694,1.8032035827636719,3.140625
21,K,0,-10.1875,8.3125,10.1875,-0.033734261989593506,1.4248050451278687,6.113128662109375,9.4300537109375
21,K,1,-6.4375,12.0,12.0,-0.05078929662704468,1.4817514419555664,5.5565643310546875,10.6026611328125
21,K,2,-5.59375,10.5,10.5,-0.04041685536503792,1.3728208541870117,4.206878662109375,9.625
21,K,3,-11.375,9.4375,11.375,-0.0301244854927063,1.4978578090667725,6.738128662109375,9.5
21,V,0,-4.78125,4.25,4.78125,0.004252704791724682,0.9595745801925659,2.9657821655273438,4.214630126953125
21,V,1,-3.640625,3.5625,3.640625,0.005847670137882233,0.825089156627655,2.4315643310546875,3.091888427734375
21,V,2,-5.34375,4.65625,5.34375,-0.04705887660384178,0.9295874238014221,2.7753143310546875,4.1875
21,V,3,-3.890625,3.484375,3.890625,-0.02457413077354431,0.8356421589851379,2.40625,3.123138427734375
27,K,0,-6.15625,7.875,7.875,0.19801583886146545,1.1296515464782715,4.8125,6.735107421875
27,K,1,-420.0,236.0,420.0,-10.320225715637207,80.8428726196289,400.0,418.0
27,K,2,-7.3125,7.9375,7.9375,0.03944297879934311,1.1286258697509766,4.6384429931640625,6.56768798828125
27,K,3,-6.78125,7.28125,7.28125,0.07818327844142914,1.1311627626419067,4.6190643310546875,6.25
27,V,0,-16.875,17.75,17.75,-0.042165160179138184,3.7108681201934814,11.238128662109375,15.678466796875
27,V,1,-65.5,72.5,72.5,0.05860447883605957,5.263637065887451,23.55377197265625,64.380859375
27,V,2,-17.625,14.125,17.625,-0.02991456910967827,3.6509764194488525,11.1875,14.1026611328125
27,V,3,-28.125,19.125,28.125,0.25933730602264404,3.546767473220825,10.25,15.2811279296875
